입장일자,국가명,외국인 입장객 수
2025-08-01,뉴질랜드,1
2025-08-01,대만,3
2025-08-01,독일,1
2025-08-01,몽골,6
2025-08-01,미국,10
2025-08-01,오스트레일리아,1
2025-08-01,우즈베키스탄,2
2025-08-01,중국,90
2025-08-01,캄보디아,1
2025-08-01,캐나다,4
2025-08-01,태국,4
2025-08-01,파라과이,1
2025-08-02,뉴질랜드,2
2025-08-02,대만,3
2025-08-02,러시아,1
2025-08-02,몽골,3
2025-08-02,미국,9
2025-08-02,스리랑카,7
2025-08-02,싱가포르,2
2025-08-02,일본,2
2025-08-02,중국,89
2025-08-02,캐나다,2
2025-08-02,키르기스스탄,2
2025-08-02,태국,3
2025-08-02,파라과이,1
2025-08-02,필리핀,1
2025-08-03,뉴질랜드,1
2025-08-03,대만,2
2025-08-03,독일,2
2025-08-03,러시아,1
2025-08-03,몽골,4
2025-08-03,미국,3
2025-08-03,일본,2
2025-08-03,중국,69
2025-08-03,캐나다,1
2025-08-03,태국,3
2025-08-03,파라과이,2
2025-08-04,뉴질랜드,1
2025-08-04,대만,5
2025-08-04,러시아,2
2025-08-04,몽골,1
2025-08-04,미국,7
2025-08-04,일본,1
2025-08-04,중국,48
2025-08-04,캐나다,2
2025-08-04,태국,1
2025-08-04,파라과이,1
2025-08-05,대만,3
2025-08-05,미국,7
2025-08-05,인도네시아,1
2025-08-05,일본,1
2025-08-05,중국,53
2025-08-05,캐나다,1
2025-08-05,파라과이,1
2025-08-06,대만,2
2025-08-06,미국,4
2025-08-06,오스트레일리아,1
2025-08-06,중국,41
2025-08-06,캐나다,1
2025-08-06,태국,1
2025-08-06,홍콩,2
2025-08-07,대만,2
2025-08-07,러시아,1
2025-08-07,미국,5
2025-08-07,우즈베키스탄,2
2025-08-07,일본,2
2025-08-07,중국,32
2025-08-07,캐나다,2
2025-08-07,태국,2
2025-08-07,파라과이,1
2025-08-07,홍콩,5
2025-08-08,뉴질랜드,1
2025-08-08,대만,2
2025-08-08,러시아,2
2025-08-08,미국,7
2025-08-08,일본,2
2025-08-08,중국,44
2025-08-08,태국,4
2025-08-08,파라과이,1
2025-08-09,뉴질랜드,1
2025-08-09,대만,1
